census_tract,pop_total,pop_hl,pop_white_non_hl,prop_hl,prop_white_non_hl,median_income
34003030202,3756,1132,1831,0.30138445154419596,0.4874866879659212,69464
34003030300,4666,2033,1563,0.4357051007286755,0.3349764252036005,62057
34003030401,3404,1166,1033,0.3425381903642773,0.30346650998824914,83446
34003030402,3989,1248,2169,0.3128603660065179,0.543745299573828,79444
34003031100,6258,1603,3589,0.25615212527964204,0.5735059124320869,103226
34003031200,4748,1200,3119,0.2527379949452401,0.6569081718618366,77083
34003031300,6195,1629,4168,0.262953995157385,0.6728006456820016,100962
34003031400,5114,1352,3613,0.2643723113023074,0.7064919827923347,76306
34003032102,6059,842,4497,0.13896682620894538,0.7422016834461133,137115
34003032103,4549,371,3700,0.08155638601890525,0.8133655748516158,82682
34003032104,4261,848,2508,0.19901431588828913,0.5885942267073457,98750
34003032201,5559,493,4110,0.08868501529051988,0.7393416082029142,122188
34003032202,5102,667,3066,0.1307330458643669,0.6009408075264602,115049
34003033100,4242,845,2402,0.1991984912776992,0.5662423385195663,117867
34003033200,2384,698,1254,0.29278523489932884,0.5260067114093959,83869
34003033300,3423,779,1296,0.2275781478235466,0.37861524978089395,94271
34003034001,2516,387,2045,0.1538155802861685,0.8127980922098569,94049
34003034002,4525,268,3929,0.05922651933701657,0.8682872928176796,148980
34003035100,8413,883,6012,0.104956614762867,0.7146083442291692,163170
34003035200,6112,426,5043,0.06969895287958115,0.825098167539267,210078
34003036100,2680,1632,991,0.608955223880597,0.36977611940298505,89464
34003036200,3079,1819,994,0.590776226047418,0.32283208834037025,83125
34003037100,5478,712,3244,0.12997444322745527,0.5921869295363271,126875
34003037201,4199,840,2357,0.20004763038818765,0.5613241247916171,140729
34003037203,3570,462,2350,0.12941176470588237,0.6582633053221288,124732
34003037204,3665,1109,1173,0.3025920873124147,0.32005457025920875,70168
34003038100,5513,1485,3029,0.2693633230545982,0.5494286232541266,87743
34003038200,4409,1916,1962,0.43456566114765255,0.4449988659559991,78159
34003038300,6417,1677,4279,0.2613370733987845,0.6668225027271311,109760
34003039100,4057,358,3101,0.08824254375154054,0.7643578999260537,122344
34003039200,5810,854,4486,0.14698795180722893,0.7721170395869191,171023
34003039300,2906,288,2497,0.09910529938059189,0.8592567102546456,132500
34003040001,3747,458,2628,0.12223111822791567,0.7013610888710968,222917
34003040002,4489,187,3739,0.04165738471820005,0.832924927600802,155833
34003041100,5659,1090,769,0.19261353596041703,0.1358897331684043,47448
